Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/22/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_THR_image B_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,THR,image B,1673,0,0,0,0,0,28,27
4/15/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,7744,0,0,0,1,1,51,49
4/16/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,20898,0,0,0,4,4,198,165
4/17/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,25713,0,0,0,2,2,267,236
4/18/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,20633,0,0,0,2,2,268,236
4/19/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,14038,0,0,0,0,0,195,180
4/20/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,47183,0,0,0,6,6,938,847
4/21/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,42427,0,0,0,5,6,685,619
4/22/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,878,0,0,0,0,0,24,22
4/26/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,img,THR,image B,0,0,0,0,0,0,0,0
